GEOID,NAME,variable,estimate,moe
"35",New Mexico,B01001A_001,1467849,6135
"46",South Dakota,B01001A_001,735228,1110
"06",California,B01001A_001,22053721,34243
"21",Kentucky,B01001A_001,3848305,3113
"01",Alabama,B01001A_001,3302834,3712
"13",Georgia,B01001A_001,6020265,10140
"05",Arkansas,B01001A_001,2269959,4094
"42",Pennsylvania,B01001A_001,10155004,8675
"29",Missouri,B01001A_001,4978046,4051
"08",Colorado,B01001A_001,4634305,7323
"49",Utah,B01001A_001,2682881,5136
"40",Oklahoma,B01001A_001,2809793,3891
"47",Tennessee,B01001A_001,5196680,4158
"56",Wyoming,B01001A_001,525246,1684
"36",New York,B01001A_001,12160045,15340
"18",Indiana,B01001A_001,5510354,4802
"20",Kansas,B01001A_001,2416165,4054
"16",Idaho,B01001A_001,1550979,4126
"02",Alaska,B01001A_001,466961,1562
"32",Nevada,B01001A_001,1881048,7006
"17",Illinois,B01001A_001,8874067,11289
"50",Vermont,B01001A_001,584360,581
"34",New Jersey,B01001A_001,5820147,9955
"38",North Dakota,B01001A_001,651470,1387
"19",Iowa,B01001A_001,2806418,2672
"45",South Carolina,B01001A_001,3386329,4807
"04",Arizona,B01001A_001,5292498,11690
"10",Delaware,B01001A_001,652587,2742
"11",District of Columbia,B01001A_001,288306,1872
"09",Connecticut,B01001A_001,2649994,6052
"33",New Hampshire,B01001A_001,1246602,1610
"31",Nebraska,B01001A_001,1641256,2669
"53",Washington,B01001A_001,5523881,7350
"72",Puerto Rico,B01001A_001,1952451,11646
"48",Texas,B01001A_001,19805623,23326
"39",Ohio,B01001A_001,9394878,4978
"55",Wisconsin,B01001A_001,4895065,5304
"41",Oregon,B01001A_001,3449081,6242
"28",Mississippi,B01001A_001,1729353,2016
"37",North Carolina,B01001A_001,7019443,8230
"51",Virginia,B01001A_001,5643436,6666
"54",West Virginia,B01001A_001,1672255,1658
"22",Louisiana,B01001A_001,2856904,3190
"26",Michigan,B01001A_001,7735902,6563
"25",Massachusetts,B01001A_001,5261787,7359
"12",Florida,B01001A_001,15199588,16723
"30",Montana,B01001A_001,932157,1489
"27",Minnesota,B01001A_001,4572149,4803
"24",Maryland,B01001A_001,3275048,6375
"23",Maine,B01001A_001,1256030,1381
"15",Hawaii,B01001A_001,342923,1778
"44",Rhode Island,B01001A_001,835608,3528
"35",New Mexico,B01001A_001,"1467849","6135"
"46",South Dakota,B01001A_001,"735228","1110"
"06",California,B01001A_001,"22053721","34243"
"21",Kentucky,B01001A_001,"3848305","3113"
"01",Alabama,B01001A_001,"3302834","3712"
"13",Georgia,B01001A_001,"6020265","10140"
"05",Arkansas,B01001A_001,"2269959","4094"
"42",Pennsylvania,B01001A_001,"10155004","8675"
"29",Missouri,B01001A_001,"4978046","4051"
"08",Colorado,B01001A_001,"4634305","7323"
"49",Utah,B01001A_001,"2682881","5136"
"40",Oklahoma,B01001A_001,"2809793","3891"
"47",Tennessee,B01001A_001,"5196680","4158"
"56",Wyoming,B01001A_001,"525246","1684"
"36",New York,B01001A_001,"12160045","15340"
"18",Indiana,B01001A_001,"5510354","4802"
"20",Kansas,B01001A_001,"2416165","4054"
"16",Idaho,B01001A_001,"1550979","4126"
"02",Alaska,B01001A_001,"466961","1562"
"32",Nevada,B01001A_001,"1881048","7006"
"17",Illinois,B01001A_001,"8874067","11289"
"50",Vermont,B01001A_001,"584360","581"
"34",New Jersey,B01001A_001,"5820147","9955"
"38",North Dakota,B01001A_001,"651470","1387"
"19",Iowa,B01001A_001,"2806418","2672"
"45",South Carolina,B01001A_001,"3386329","4807"
"04",Arizona,B01001A_001,"5292498","11690"
"10",Delaware,B01001A_001,"652587","2742"
"11",District of Columbia,B01001A_001,"288306","1872"
"09",Connecticut,B01001A_001,"2649994","6052"
"33",New Hampshire,B01001A_001,"1246602","1610"
"31",Nebraska,B01001A_001,"1641256","2669"
"53",Washington,B01001A_001,"5523881","7350"
"72",Puerto Rico,B01001A_001,"1952451","11646"
"48",Texas,B01001A_001,"19805623","23326"
"39",Ohio,B01001A_001,"9394878","4978"
"55",Wisconsin,B01001A_001,"4895065","5304"
"41",Oregon,B01001A_001,"3449081","6242"
"28",Mississippi,B01001A_001,"1729353","2016"
"37",North Carolina,B01001A_001,"7019443","8230"
"51",Virginia,B01001A_001,"5643436","6666"
"54",West Virginia,B01001A_001,"1672255","1658"
"22",Louisiana,B01001A_001,"2856904","3190"
"26",Michigan,B01001A_001,"7735902","6563"
"25",Massachusetts,B01001A_001,"5261787","7359"
"12",Florida,B01001A_001,"15199588","16723"
"30",Montana,B01001A_001,"932157","1489"
"27",Minnesota,B01001A_001,"4572149","4803"
"24",Maryland,B01001A_001,"3275048","6375"
"23",Maine,B01001A_001,"1256030","1381"
"15",Hawaii,B01001A_001,"342923","1778"
"44",Rhode Island,B01001A_001,"835608","3528"
